Source,Target,Weight
5M7RMcbgYy45XzC51HU355,pop,1
4AZihrM3P96d5mA9kvsxxH,pop,1
5amPFw5XVlNzP7uSKBXtai,pop,1
6NtH0d4qlaU5FakRdrdNwq,pop,1
4aPsL8sPDTXIR11gYfAb0i,pop,1
4aPsL8sPDTXIR11gYfAb0i,rock,1
696J4fiOALx5ifVKv10VbK,pop,1
29Hsg37sCbjeeCdDA0HIgt,pop,1
4FTXvsvz433gZR67rhxFfN,pop,1
1cqkZpQniJhO3wvhxqVz54,pop,1
12a4KgFut39rBB8WjeN2oL,pop,1
5mNFpEfI0KApCz2Y88LYW6,pop,1
2lKSCvxuWDRCyImWLIXqre,pop,1
64KEffDW9EtZ1y2vBYgq8T,house,1
64KEffDW9EtZ1y2vBYgq8T,pop,1
3oSJ7TBVCWMDMiYjXNiCKE,country,1
718COspgdWOnwOFpJHRZHS,country,1
4GGfAshSkqoxpZdoaHm7ky,country,1
4GGfAshSkqoxpZdoaHm7ky,pop,1
4Gso3d4CscCijv0lmajZWs,rap,1
2hlmm7s2ICUX0LVIhVFlZQ,rap,1
2hlmm7s2ICUX0LVIhVFlZQ,hip hop,1
2hlmm7s2ICUX0LVIhVFlZQ,trap,1
1QcutbFtA6u8A2ZFTZuLSL,rap,1
1QcutbFtA6u8A2ZFTZuLSL,trap,1
7hwlbJCUBQksiqlloB6x9K,cumbia,1
2OEZ0KKJrKXsRQ6hU9bbfS,rap,1
2OEZ0KKJrKXsRQ6hU9bbfS,trap,1
0x5lhIYknBUEozHuXjkwUs,drill,1
22QaKKmBIH3QiotuG30W3o,cumbia,1
6w9ToX5slZ4uIdmD17hJ3c,rap,1
6w9ToX5slZ4uIdmD17hJ3c,urbano latino,1
6w9ToX5slZ4uIdmD17hJ3c,trap,1
2XcZshqzPKm3iZcmt73R8D,rap,1
2XcZshqzPKm3iZcmt73R8D,urbano latino,1
2XcZshqzPKm3iZcmt73R8D,trap,1
0NnUMWDCDi1snuMja6IdxH,rap,1
0NnUMWDCDi1snuMja6IdxH,trap,1
4yxLYO2imECxGYTTV7RQKb,urbano latino,1
4yxLYO2imECxGYTTV7RQKb,drill,1
7kvnG7JhX0ycVMVb8SP8EL,rap,1
7kvnG7JhX0ycVMVb8SP8EL,trap,1
3i6lAgVHplDXb6zrjIeBeK,rap,1
3i6lAgVHplDXb6zrjIeBeK,trap,1
