artists,followers,genres,name,popularity
7MiDcPa6UiV3In7lIM71IN,21934533,"agronejo, arrocha, sertanejo, sertanejo universitario",Gusttavo Lima,82
5Dz2FizMLqV0Cr3c8uhEcF,1153791,funk paulista,MC Cebezinho,75
1b8S7EPzdckRyIh0uSbOMI,262951,,DJ Oreia,75
64DTkZLH6KkkMwZEEZ5VWC,905334,,Love Funk,75
5InVWl8IZB8zFAoNa5roKm,1177151,funk paulista,Mc Kako,76
59jlthNnbmim5l9tmNA7se,13955452,"sertanejo, sertanejo pop, sertanejo universitario",Maiara & Maraisa,80
1DuBkL1pAgaZQHXKPiVr08,76422,,Léo Foguete,74
5wbf52LA6kcaboHSN6NEF1,2741536,"funk carioca, funk rj",PEDRO SAMPAIO,75
0nFdWpwl7h6fp3ADRyG14L,414515,pop lgbtq+ brasileira,Marina Sena,71
3hq7WoPJsrRP0KMSLhUgRz,1747147,"arrocha, sertanejo, sertanejo universitario",Murilo Huff,80
2CKOmarVWvWqkNWUatHCex,7702087,"agronejo, sertanejo, sertanejo pop, sertanejo universitario",Ana Castela,81
0xj9MJx9r0wO2o4aqdergP,192386,"deboxe, funk mtg, rave funk",DJ TOPO,73
7me0S5Z40qVWj3gzyK8aC3,7401052,"funk carioca, funk paulista, funk rj",Mc Livinho,74
70jpkgy5oGT4YjaGFpCpk7,266079,,MC LUUKY,79
7wLAecYIgstxcjqe6JwT3w,2538,,DJ JB Mix,66
5s27i7oqhNWIcE4HeoVdq0,1451679,"funk consciente, funk paulista",MC GP,77
2f8xoxornfSw6ePzgyM9NO,60021,,MC Jvila,71
6XFc29m1ptfUNmaa1UTuBT,1274905,funk paulista,MC Joãozinho VT,78
3UfwtvPZZea2HHwI23VtKP,47242,,MC Vine7,71
75i9GaW2MJUgt4BkdUnuUY,6329154,funk paulista,MC Ryan SP,84
2VTYSgPG0HoSZ4YMx7EeFj,862,,Mc Duzinho SP,64
