id,label,type,main_country
0c0Yh1P4gMYmDwebhyzIDv,Latinnites Music,Artist,Dominica
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,Artist,Bolivia
5JMJt80HJWR1e4hMw63Z5t,Luis Vega,Artist,Bolivia
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,Artist,Colombia
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,Artist,Chile
1r4hJ1h58CWwUQe3MxPuau,Maluma,Artist,Bolivia
66ihevNkSYNzRAl44dx6jJ,Carin Leon,Artist,Costa Rica
6ndLrsgT3MV5CNxIrW71fw,DFZM,Artist,Bolivia
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,Artist,Colombia
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,Artist,Colombia
4q3ewBCX7sLwd24euuV69X,Bad Bunny,Artist,El Salvador
1fctva4kpRbg2k3v7kwRuS,Rvssian,Artist,Bolivia
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Artist,Ecuador
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,Artist,Bolivia
1dKdetem2xEmjgvyymzytS,Grupo Firme,Artist,Bolivia
0dUyjgCyjfj5eMx6bX2TWf,FMK,Artist,Bolivia
2jSGzJw0ebJLu7OLVSOcBP,Plan B,Artist,El Salvador
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,Artist,Mexico
18dspUI6gqabm5XCC2RcUD,SOG,Artist,Bolivia
5szJHKg5xeUlQ9pTqzdpic,Taiu,Artist,Bolivia
0OTHm6AFLxgeTm0gHNOuWi,De Parranda,Artist,Bolivia
3qsKSpcV3ncke3hw52JSMB,Young Miko,Artist,Bolivia
0wdQR6Qd64uSVhNJy7M2F0,JAVVI ELIAS,Artist,Bolivia
6aoGgTKGqtsjj48ymcNs4Z,MC Tuto,Artist,Brazil
6XX6KGpomRDPmGGm7bofCK,DJ Glenner,Artist,Brazil
