id_genre,id_artiste,pays
1795,985,Italy
1797,985,Italy
1793,986,Italy
1797,986,Italy
1793,987,Italy
1794,987,Italy
1795,987,Italy
1797,987,Italy
1795,990,Italy
1797,990,Italy
1797,991,Italy
1793,992,Italy
1794,992,Italy
1795,992,Italy
1797,992,Italy
1797,993,Italy
1795,995,Italy
1795,996,Italy
1797,996,Italy
1793,997,Italy
1797,997,Italy
1797,998,Italy
1795,999,Italy
1793,1000,Italy
1794,1000,Italy
1795,1000,Italy
1797,1000,Italy
1795,1001,Italy
1797,1001,Italy
1795,1002,Italy
1795,1003,Italy
1795,1004,Italy
1793,1008,Italy
1794,1008,Italy
1795,1008,Italy
1797,1008,Italy
1795,1009,Italy
1793,1010,Italy
1794,1010,Italy
1795,1010,Italy
1797,1010,Italy
1795,1011,Italy
1793,1012,Italy
1794,1012,Italy
1797,1012,Italy
1793,1013,Italy
1794,1013,Italy
1797,1013,Italy
1793,1014,Italy
1797,1014,Italy
1793,1015,Italy
1794,1015,Italy
1795,1015,Italy
1797,1015,Italy
1793,1016,Italy
1794,1016,Italy
1793,1017,Italy
1797,1020,Italy
1795,1022,Italy
1795,1023,Italy
1793,1025,Italy
1794,1025,Italy
1795,1025,Italy
1797,1025,Italy
1795,1026,Italy
1795,1027,Italy
1793,1028,Italy
1797,1028,Italy
1795,1031,Italy
1793,1033,Italy
1794,1033,Italy
1797,1033,Italy
1797,1034,Italy
1795,1035,Japan
1799,1035,Japan
1795,1037,Japan
1795,1038,Japan
1795,1039,Taiwan
1795,1040,Japan
1799,1040,Japan
1795,1041,Japan
1799,1041,Japan
1795,1043,Japan
1795,1044,Japan
1799,1044,Japan
1795,1045,Japan
1795,1046,Japan
1795,1047,Japan
1795,1048,Japan
1795,1051,Japan
1799,1052,Japan
1795,1053,Japan
1795,1054,Japan
1795,1055,Japan
1795,1056,Japan
1795,1059,Japan
1795,1060,Japan
1795,1061,Japan
1799,1062,Japan
1795,1063,Japan
1795,1064,Kazakhstan
1797,1064,Kazakhstan
1795,1065,Kazakhstan
1795,1066,Kazakhstan
1795,1067,Kazakhstan
1795,1068,Kazakhstan
1797,1068,Kazakhstan
1799,1069,Kazakhstan
1793,1071,Kazakhstan
1797,1071,Kazakhstan
1795,1072,Kazakhstan
1797,1072,Kazakhstan
1795,1073,Kazakhstan
1795,1074,Kazakhstan
1795,1075,Kazakhstan
1795,1076,Kazakhstan
1795,1077,Kazakhstan
1795,1078,Kazakhstan
1797,1078,Kazakhstan
1801,1080,Kazakhstan
1797,1081,Kazakhstan
1795,1083,Malaysia
1795,1084,Kazakhstan
1795,1085,Kazakhstan
1797,1086,Kazakhstan
1795,1087,Kazakhstan
1795,1089,Kazakhstan
1797,1091,Latvia
1795,1092,Latvia
1797,1093,Latvia
1797,1094,Latvia
1797,1095,Latvia
1797,1096,Latvia
1797,1098,Latvia
1793,1101,Latvia
1797,1101,Latvia
1793,1102,Latvia
1797,1102,Latvia
1795,1103,Latvia
1795,1104,Latvia
1795,1106,Lithuania
1795,1107,Lithuania
1797,1107,Lithuania
1795,1108,Lithuania
1795,1109,Lithuania
1795,1110,Lithuania
1795,1111,Lithuania
1795,1112,Lithuania
1793,1113,Lithuania
1794,1113,Lithuania
1795,1115,Lithuania
1795,1117,Lithuania
1797,1118,Lithuania
1795,1119,Lithuania
1793,1120,Lithuania
1794,1120,Lithuania
1797,1120,Lithuania
1795,1121,Lithuania
1795,1124,Luxembourg
1795,1125,Malaysia
1795,1126,Taiwan
1795,1128,Malaysia
1795,1129,Malaysia
1795,1130,Malaysia
1795,1131,Malaysia
1795,1132,Malaysia
1793,1134,Malaysia
1795,1134,Malaysia
1795,1135,Malaysia
1795,1136,Malaysia
1796,1138,Mexico
1798,1138,Mexico
1796,1139,Mexico
1796,1140,Mexico
1796,1142,Mexico
1793,1148,Morocco
1797,1148,Morocco
1793,1149,Morocco
1794,1149,Morocco
1797,1149,Morocco
1793,1152,Morocco
1793,1153,Morocco
1793,1154,Morocco
1793,1155,Morocco
1794,1155,Morocco
1793,1156,Morocco
1793,1157,Morocco
1793,1158,Morocco
1795,1158,Morocco
1797,1158,Morocco
1793,1159,Morocco
1795,1159,Morocco
1793,1160,Morocco
1795,1160,Morocco
1793,1161,Morocco
1800,1163,Morocco
1795,1164,Morocco
1793,1165,Morocco
1795,1165,Morocco
1797,1165,Morocco
1793,1166,Morocco
1795,1166,Morocco
1793,1167,Morocco
1797,1167,Morocco
1795,1168,Morocco
1793,1169,Morocco
1794,1169,Morocco
1793,1172,Morocco
1793,1173,Morocco
1795,1173,Morocco
1797,1173,Morocco
1793,1174,Morocco
1793,1175,Morocco
1795,1177,Netherlands
1797,1178,Netherlands
1800,1178,Netherlands
1797,1179,Netherlands
1800,1179,Netherlands
1793,1180,Netherlands
1795,1180,Netherlands
1797,1180,Netherlands
1797,1185,Netherlands
1793,1189,Netherlands
1795,1189,Netherlands
1797,1189,Netherlands
1793,1191,Netherlands
1795,1191,Netherlands
1797,1191,Netherlands
1795,1192,Netherlands
1799,1192,Netherlands
1793,1193,Netherlands
1795,1193,Netherlands
1797,1193,Netherlands
1800,1193,Netherlands
1793,1194,Netherlands
